,Max,Min,Mean,Std,RMS,Skewness,Kurtosis,P2P,Crest Factor,Variance,Fault,Defect
557,0.9,-0.2,0.123508595,0.082304394,0.148396553,0.926245469,7.773548841,0.7,6.064830904,0.006774013,Healthy,No
558,0.85,-0.87,0.127281947,0.0876745,0.154530631,-0.774962692,20.80361235,-0.02,5.500527582,0.007686818,Healthy,No
559,0.45,-0.1,0.125085772,0.079826628,0.148365464,0.380404066,0.48662458,0.35,3.03305088,0.006372291,Healthy,No
560,0.51,-1.0,0.125806452,0.096353049,0.158435522,-1.446847025,18.49871346,-0.49,3.218975106,0.00928391,Healthy,No
561,0.42,-0.3,0.123212121,0.079191985,0.146445425,0.04152888,0.560260791,0.12,2.867962579,0.006271371,Healthy,No
562,0.42,-0.2,0.123559151,0.08169926,0.1481043,0.070037751,0.258235671,0.22,2.835839335,0.006674769,Healthy,No
563,0.8,-1.0,0.129050505,0.090750759,0.157738436,-1.428488173,26.2082338,-0.2,5.071687162,0.0082357,Healthy,No
564,0.44,-0.1,0.123528817,0.079476936,0.146865807,0.379934766,0.404020838,0.34,2.995932202,0.006316583,Healthy,No
565,0.39,-0.2,0.118168016,0.079573229,0.142440058,-0.096189602,0.436367217,0.19,2.737993836,0.006331899,Healthy,No
566,1.14,-0.1,0.173124368,0.090291059,0.195233909,3.463495453,35.20217035,1.04,5.839149603,0.008152475,Healthy,No
567,0.99,-0.9,0.130663984,0.096126185,0.162185154,0.674384921,26.54822873,0.09,6.104134541,0.009240243,Healthy,No
568,0.47,-0.1,0.124139676,0.08040153,0.147880094,0.273518752,0.320097255,0.37,3.178250612,0.006464406,Healthy,No
569,1.02,-0.9,0.129153226,0.092517698,0.158844111,-0.026140359,25.75048262,0.12,6.421390087,0.008559524,Healthy,No
570,0.44,-0.9,0.124344758,0.083553605,0.149785801,-1.643306668,21.96254924,-0.46,2.937528097,0.006981205,Healthy,No
571,0.47,-0.2,0.126370968,0.078543345,0.148769821,0.07741835,0.675632896,0.27,3.159242892,0.006169057,Healthy,No
572,0.42,-0.2,0.127238579,0.080585314,0.15058903,0.242329852,0.571116311,0.22,2.789047789,0.006493993,Healthy,No
573,0.94,-0.2,0.128275862,0.086134524,0.154487309,0.993857332,7.789270446,0.74,6.084642207,0.007419156,Healthy,No
574,0.41,-0.2,0.120483871,0.075435953,0.14213096,0.067724227,0.273135655,0.21,2.884663561,0.005690583,Healthy,No
575,0.39,-0.2,0.124777328,0.079372227,0.147861271,0.071312499,0.364000565,0.19,2.637607518,0.00629995,Healthy,No
576,1.2,-0.1,0.169443883,0.08341032,0.188842464,2.079595184,23.30837317,1.1,6.354502976,0.006957282,Healthy,No
577,0.56,-0.8,0.126930091,0.089157643,0.155087974,-0.927472102,11.93494891,-0.24,3.610853802,0.007949085,Healthy,No
578,0.85,-0.1,0.12764884,0.084791019,0.153220392,0.816539564,5.149841343,0.75,5.547564467,0.007189517,Healthy,No
579,0.9,-0.2,0.125050403,0.083639449,0.150419776,0.853414392,7.278763363,0.7,5.983255837,0.006995557,Healthy,No
580,0.42,-0.1,0.126268806,0.079132597,0.148994961,0.188756797,0.189353042,0.32,2.818887272,0.006261968,Healthy,No
581,0.94,-0.2,0.129031282,0.08625116,0.155179984,0.925409508,7.314164174,0.74,6.057482257,0.007439263,Healthy,No
582,0.99,-0.2,0.126862944,0.085114739,0.152746098,1.157785926,10.4596364,0.79,6.481343948,0.007244519,Healthy,No
583,0.38,-0.1,0.129203629,0.078661038,0.151244501,0.098265686,-0.014779032,0.28,2.512488035,0.006187559,Healthy,No
584,0.42,-0.9,0.125076142,0.088345332,0.153104589,-3.066308025,35.43604939,-0.48,2.743222801,0.007804898,Healthy,No
585,0.45,-0.9,0.127411883,0.088342993,0.15501746,-1.855261361,22.16339886,-0.45,2.90289881,0.007804484,Healthy,No
